question_id,domain,subcategory,question_type,difficulty,question,key_concepts,roles,content_status
ai-enginee-001,AI Engineering,LLM Fundamentals,practical,medium,"A production LLM endpoint is too slow. What would you measure first, and which changes could reduce latency without blindly choosing a smaller model?",AI Engineering; LLM Fundamentals,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-002,AI Engineering,Embeddings,tradeoff,medium,Semantic search returns keyword-related documents but misses the user intent. How would you debug the embedding pipeline?,AI Engineering; Embeddings,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-003,AI Engineering,RAG,debugging,medium,"Design a RAG pipeline for an interview-preparation platform from ingestion through retrieval, reranking, generation, and evaluation.",AI Engineering; RAG; retrieval; evaluation,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-004,AI Engineering,Agents,design,hard,When is a deterministic workflow better than an autonomous agent? Give an example from an AI product.,AI Engineering; Agents,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-005,AI Engineering,LangGraph,conceptual,easy,Design the LangGraph state and routing for an adaptive mock interview.,AI Engineering; LangGraph,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-006,AI Engineering,Evaluation,optimization,medium,"A candidate gives a partially correct technical answer. How should an evaluator distinguish correct concepts, omissions, and misconceptions?",AI Engineering; Evaluation,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-007,AI Engineering,Production AI,follow_up,medium,How would you cache LLM requests while avoiding unsafe or stale responses?,AI Engineering; Production AI,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-008,AI Engineering,Security,scenario,medium,A malicious instruction is hidden inside a user resume. How should the AI interviewer treat it?,AI Engineering; Security,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-009,AI Engineering,AI Projects,practical,hard,An AI project works in a demo but fails on edge cases. How would you build a realistic evaluation dataset?,AI Engineering; AI Projects,ai_engineer; genai_engineer; software_engineer,curated
ai-enginee-010,AI Engineering,LLM Fundamentals,tradeoff,easy,Two models have similar quality but one costs four times more. How would you choose between them for a fresher-facing product?,AI Engineering; LLM Fundamentals,ai_engineer; genai_engineer; software_engineer,curated
